CMDLINE C:\Users\User\PycharmProjects\kurs\.venv\Scripts\python.exe tetris.py
MEM 3.125000 1717483336.4137
MEM 3.125000 1717483336.5147
MEM 3.125000 1717483336.6157
MEM 3.125000 1717483336.7167
MEM 3.125000 1717483336.8172
MEM 3.125000 1717483336.9182
MEM 3.125000 1717483337.0190
MEM 3.125000 1717483337.1203
MEM 3.125000 1717483337.2209
MEM 3.125000 1717483337.3219
MEM 3.125000 1717483337.4232
MEM 3.125000 1717483337.5245
MEM 3.125000 1717483337.6253
MEM 3.125000 1717483337.7262
MEM 3.125000 1717483337.8267
MEM 3.125000 1717483337.9274
MEM 3.125000 1717483338.0282
MEM 3.125000 1717483338.1289
MEM 3.125000 1717483338.2296
MEM 3.125000 1717483338.3302
MEM 3.125000 1717483338.4314
MEM 3.125000 1717483338.5323
MEM 3.125000 1717483338.6336
MEM 3.125000 1717483338.7349
MEM 3.125000 1717483338.8354
MEM 3.125000 1717483338.9361
MEM 3.125000 1717483339.0371
MEM 3.125000 1717483339.1379
MEM 3.125000 1717483339.2383
MEM 3.125000 1717483339.3394
MEM 3.125000 1717483339.4399
MEM 3.125000 1717483339.5409
MEM 3.125000 1717483339.6418
MEM 3.125000 1717483339.7423
MEM 3.125000 1717483339.8433
MEM 3.125000 1717483339.9438
MEM 3.125000 1717483340.0448
MEM 3.125000 1717483340.1458
MEM 3.125000 1717483340.2468
MEM 3.125000 1717483340.3472
MEM 3.125000 1717483340.4482
MEM 3.125000 1717483340.5492
MEM 3.125000 1717483340.6502
MEM 3.125000 1717483340.7512
MEM 3.125000 1717483340.8523
MEM 3.125000 1717483340.9528
MEM 3.125000 1717483341.0540
MEM 3.125000 1717483341.1547
MEM 3.125000 1717483341.2556
MEM 3.125000 1717483341.3562
MEM 3.125000 1717483341.4568
MEM 3.125000 1717483341.5575
MEM 3.125000 1717483341.6581
MEM 3.125000 1717483341.7589
MEM 3.125000 1717483341.8605
MEM 3.125000 1717483341.9616
MEM 3.125000 1717483342.0628
MEM 3.125000 1717483342.1634
MEM 3.125000 1717483342.2643
MEM 3.125000 1717483342.3648
MEM 3.125000 1717483342.4651
MEM 3.125000 1717483342.5659
MEM 3.125000 1717483342.6664
MEM 3.125000 1717483342.7671
MEM 3.125000 1717483342.8680
MEM 3.125000 1717483342.9690
MEM 3.125000 1717483343.0696
MEM 3.125000 1717483343.1706
MEM 3.125000 1717483343.2711
MEM 3.125000 1717483343.3714
MEM 3.125000 1717483343.4728
MEM 3.125000 1717483343.5733
MEM 3.125000 1717483343.6743
MEM 3.125000 1717483343.7753
MEM 3.125000 1717483343.8763
MEM 3.125000 1717483343.9773
MEM 3.125000 1717483344.0783
MEM 3.125000 1717483344.1794
MEM 3.125000 1717483344.2804
MEM 3.125000 1717483344.3815
MEM 3.125000 1717483344.4825
MEM 3.125000 1717483344.5830
MEM 3.125000 1717483344.6840
MEM 3.125000 1717483344.7850
MEM 3.125000 1717483344.8856
MEM 3.125000 1717483344.9865
MEM 3.125000 1717483345.0875
MEM 3.125000 1717483345.1886
MEM 3.125000 1717483345.2894
MEM 3.125000 1717483345.3904
MEM 3.125000 1717483345.4915
MEM 3.125000 1717483345.5925
MEM 3.125000 1717483345.6927
MEM 3.125000 1717483345.7937
MEM 3.125000 1717483345.8947
MEM 3.125000 1717483345.9953
MEM 3.125000 1717483346.0963
MEM 3.125000 1717483346.1973
MEM 3.125000 1717483346.2984
MEM 3.125000 1717483346.3994
MEM 3.125000 1717483346.5003
MEM 3.125000 1717483346.6013
MEM 3.125000 1717483346.7023
MEM 3.125000 1717483346.8033
MEM 3.125000 1717483346.9043
MEM 3.125000 1717483347.0053
MEM 3.125000 1717483347.1063
MEM 3.125000 1717483347.2068
MEM 3.125000 1717483347.3078
MEM 3.125000 1717483347.4088
MEM 3.125000 1717483347.5099
MEM 3.125000 1717483347.6109
MEM 3.125000 1717483347.7119
MEM 3.097656 1717483347.8129
MEM 3.097656 1717483347.9139
MEM 3.097656 1717483348.0144
MEM 3.097656 1717483348.1153
MEM 3.097656 1717483348.2163
MEM 3.097656 1717483348.3174
MEM 3.097656 1717483348.4186
MEM 3.097656 1717483348.5196
MEM 3.097656 1717483348.6206
MEM 3.097656 1717483348.7211
MEM 3.097656 1717483348.8215
MEM 3.097656 1717483348.9225
MEM 3.097656 1717483349.0235
MEM 3.097656 1717483349.1245
MEM 3.097656 1717483349.2256
MEM 3.097656 1717483349.3266
MEM 3.097656 1717483349.4276
MEM 3.097656 1717483349.5286
MEM 3.097656 1717483349.6296
MEM 3.097656 1717483349.7306
MEM 3.097656 1717483349.8311
MEM 3.097656 1717483349.9321
MEM 3.097656 1717483350.0327
MEM 3.097656 1717483350.1330
MEM 3.097656 1717483350.2340
MEM 3.097656 1717483350.3347
MEM 3.097656 1717483350.4357
MEM 3.097656 1717483350.5362
MEM 3.097656 1717483350.6372
MEM 3.097656 1717483350.7382
MEM 3.097656 1717483350.8388
MEM 3.097656 1717483350.9396
MEM 3.097656 1717483351.0406
MEM 3.097656 1717483351.1416
MEM 3.097656 1717483351.2426
MEM 3.097656 1717483351.3436
MEM 3.097656 1717483351.4446
MEM 3.097656 1717483351.5456
MEM 3.097656 1717483351.6461
MEM 3.097656 1717483351.7471
MEM 3.097656 1717483351.8481
MEM 3.097656 1717483351.9491
MEM 3.097656 1717483352.0496
MEM 3.097656 1717483352.1502
MEM 3.097656 1717483352.2512
MEM 3.097656 1717483352.3522
MEM 3.097656 1717483352.4532
MEM 3.097656 1717483352.5542
MEM 3.097656 1717483352.6552
MEM 3.097656 1717483352.7562
MEM 3.097656 1717483352.8572
MEM 3.097656 1717483352.9577
MEM 3.097656 1717483353.0587
MEM 3.097656 1717483353.1592
MEM 3.097656 1717483353.2602
MEM 3.097656 1717483353.3612
MEM 3.097656 1717483353.4618
MEM 3.097656 1717483353.5628
MEM 3.097656 1717483353.6638
MEM 3.097656 1717483353.7648
MEM 3.097656 1717483353.8655
MEM 3.097656 1717483353.9665
MEM 3.097656 1717483354.0670
MEM 3.097656 1717483354.1680
MEM 3.097656 1717483354.2690
MEM 3.097656 1717483354.3700
MEM 3.097656 1717483354.4710
MEM 3.097656 1717483354.5721
MEM 3.097656 1717483354.6726
MEM 3.097656 1717483354.7732
MEM 3.097656 1717483354.8742
MEM 3.097656 1717483354.9749
MEM 3.097656 1717483355.0759
MEM 3.097656 1717483355.1764
MEM 3.097656 1717483355.2774
MEM 3.097656 1717483355.3779
MEM 3.097656 1717483355.4789
MEM 3.097656 1717483355.5799
MEM 3.097656 1717483355.6810
MEM 3.097656 1717483355.7814
MEM 3.097656 1717483355.8824
MEM 3.097656 1717483355.9834
MEM 3.097656 1717483356.0844
MEM 3.097656 1717483356.1854
MEM 3.097656 1717483356.2860
MEM 3.097656 1717483356.3870
MEM 3.097656 1717483356.4880
MEM 3.097656 1717483356.5890
MEM 3.097656 1717483356.6895
MEM 3.097656 1717483356.7905
MEM 3.097656 1717483356.8915
MEM 3.097656 1717483356.9925
MEM 3.097656 1717483357.0935
MEM 3.097656 1717483357.1946
MEM 3.097656 1717483357.2956
MEM 3.097656 1717483357.3967
MEM 3.097656 1717483357.4977
MEM 3.097656 1717483357.5984
MEM 3.097656 1717483357.6994
MEM 3.097656 1717483357.8004
MEM 3.097656 1717483357.9014
MEM 3.097656 1717483358.0024
MEM 3.097656 1717483358.1034
MEM 3.097656 1717483358.2045
MEM 3.097656 1717483358.3054
MEM 3.097656 1717483358.4064
MEM 3.097656 1717483358.5074
MEM 3.097656 1717483358.6076
MEM 3.097656 1717483358.7087
MEM 3.097656 1717483358.8092
MEM 3.097656 1717483358.9095
MEM 3.097656 1717483359.0105
MEM 3.097656 1717483359.1115
MEM 3.097656 1717483359.2125
MEM 3.097656 1717483359.3135
MEM 3.097656 1717483359.4146
MEM 3.097656 1717483359.5152
MEM 3.097656 1717483359.6162
MEM 3.097656 1717483359.7172
MEM 3.097656 1717483359.8182
MEM 3.097656 1717483359.9185
MEM 3.097656 1717483360.0195
MEM 3.097656 1717483360.1200
MEM 3.097656 1717483360.2210
MEM 3.097656 1717483360.3220
MEM 3.097656 1717483360.4230
MEM 3.097656 1717483360.5240
MEM 3.097656 1717483360.6248
MEM 3.097656 1717483360.7258
MEM 3.097656 1717483360.8268
MEM 3.097656 1717483360.9279
MEM 3.097656 1717483361.0289
MEM 3.097656 1717483361.1299
MEM 3.097656 1717483361.2309
